Worker ID,UPDATE-Already Completed Bias Identification Qualification Task,,
A1RUURPQJ14A8X,100,3,
A21H0JE7TM7RX5,100,3,
A2R89RXGEVG05I,100,3,
A27MJOV91GA8R3,100,50,
A2YLK83DQ6PA5Y,1,,
A3N9Z4RM1LYZHL,1,,
A1DSBBRZR3LWXP,1,,
A3BJNFU4T7RU11,1,,
A2HSCKH5NKN5LP,1,,
ACTTCQ3WVKS6L,1,,
AISNLDPD2DFEG,35,,
A1D68GESUYX17I,35,,
A1KEAHVVML6319,35,,
A39PWM9C4U0TEP,35,,
A2UQQX2CVWOYVV,1,,
A3CS8P3772ADYZ,1,,
A2I9PUZT19ZBO8,1,,
A2WYCY1FMQOD5F,1,,
ATOV0H5KQHI29,35,,
AGRKG3YT3KMD8,35,,
AN3F3H70WHNAM,1,,
A2DVV59R1CQU6T,1,,
A2WHC086WNUQNB,35,,
A3L2XKXABNO0N5,100,35,
A30PLS3F9AM54J,100,50,
A171KSJTO7BO92,1,,
A3JLE2LJ5I17E2,1,,
A14I3K8UN3612X,35,,
A3GW3MPLVGG7PZ,1,,
ABL3H3O3BI8ZD,1,,
A3NKDH862M6AQ4,1,,
A1OZPLHNIU1519,100,50,
AS2WTWYVRW9BV,1,,
A215VSM181SC0F,35,,
A37QFZ8I1TGH2C,100,50,
A3SD02HCW68EUL,1,,
AHDW0M4017Z8K,1,,
AJDXSXAWDDAEO,1,,
A2DDXYTEVDV5F5,100,,
AA9V4NE8SOA4I,1,,
ACURSNZORZLQ3,1,,
AE608VRXK6M2E,100,,
A2TGUA422ML23P,1,,
A2LC2DS8OH7NCA,1,,
AEF74ZYJTTEIA,0,100,Neutral when it should
A2JJF5OFND2KL5,1,,
A8RDXT4ZILHQT,1,,
A2JIQYORPF0PSE,1,,
A2TBXASXZIRNNW,0,Choose too many neutral,
A3SOZYQZWJOOYS,1,,
A24EYMUIGY8M5O,1,,
A2JHF7CU91EVXW,1,,
A14WLAP6TCEKO0,100,,
A1Q5RFVJKMZBEN,1,,
AUB4G0UAESKNQ,1,,
ADLYO655RWJUI,1,,
A9YSQNV8OLPDG,1,,
A2UF2FRGVW4T89,1,,
AGX171Q54YXPI,1,,
A7NZ814Q5MX2R,1,,
A1SP3GBRZKMWZJ,1,,
A18TCR555RWUZV,100,,
ARVXIBUCA8WDZ,1,,
A1G187YBG0DVMQ,1,,
APGX2WZ59OWDN,100,,
A3HL2LL0LEPZT8,1,,
A2GTBBZA2M82NR,100,,
A9KPCMO1J1LQF,100,,
A21E2SZ36G5LJ8,1,,
AIHVLBHJROONN,1,,
A21SVM7079V6OP,100,,
ACAJFF4MF5S5X,100,,
A1E235KE3CSO7H,1,,
A1C8FN01981A69,1,,
ANUG05IDFTWF,1,,
A7ZLEIZSK36VI,100,,
A1DK3FVV13STX2,0,Didn't mark,
A1Q1J0P16PN3HN,1,,
A9IC7BMHIPTYH,1,,
A6RHP75VV3265,100,,
A1ZOLH6MN0ZH9R,1,,
AV5FCKI1TTSKR,1,,
A1GV0UZU0T2ORS,100,,
A2M5I4KGKF9J7Q,100,,
A2JJF5OFND2KL5,1,,
A1DUPOUC9RNU4L,1,,
A23IRWAODQDAA7,100,,
A1PF01FF85HUY4,100,,
A3VRDQJNM1IC0E,0,Not a single marker,
A2T3TJEHWXHH7U,1,,
A2TGUA422ML23P,1,,
A1BIN5R8FF4FQR,100,,
A31J3022SQPIMW,100,,
A2GWVQXAY0YKQS,1,,
A2EOOF9D135HQ1,100,,
A1RAMKQ7DTZSY9,1,,
AGA1PIIWM8I8D,1,,
A2RHE12CJSKCRE,100,,
A2H6K1XIK4LY7O,1,,
A1F4TB5AD4LKLO,1,,
A3PTO0DMF57GDG,1,,
AGTV2SNFKXB11,1,,
A272X64FOZFYLB,1,,
A11KCJVVZDSOT0,1,,
A2N2GFB33ZMYGF,1,,
A2EOOF9D135HQ1,100,,
A2TGUA422ML23P,1,,
A330JJZGJL7IG2,100,,
A39YBLQYIUBR76,100,,
A1S624VSVI32QZ,1,,
AVZOGPWNTUPC4,1,,
A29A2MQMPJW1O9,1,,
A32MY4GWOHA4GK,100,,
A3IR7DFEKLLLO,1,,
A24U4V1X87FO7B,1,,
A2DFXQ3QVQ9ELH,1,,
APHMJQQFW0U5S,100,,
A610SH5RY1NG1,100,,
A16LKB0ZKQF8KI,1,,
A1M9V2YS4P0PJY,100,,
A37WDOIQH6JM6V,1,,
AH9Y3W3PJGG32,100,,
A1B84JJ7ATWVJA,100,,
A1CUGWGAVOV7YF,1,,
A1FP3SH704X01V,1,,
A3SKEW89V5S0DI,100,,
A1NSHNH3MNFRGW,1,,
A1V1Q9L3DG40WQ,1,,
A1S88VQY8G8CNC,1,,
A2JP9IKRHNLRPI,100,,
A2TGUA422ML23P,1,,
A32IRN8APZMCQ2,1,,
A3LL096CAY5WHB,1,,
ABF3ITT2M64ZM,1,,
A1GKTC682SWY23,1,,